cargo,nome empresa,local,link
Analista de TI Inteligência Artificial,C3 MOBILE,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-ti-inteligencia-artificial/31152338/
Analista de Sistemas I ,Empresa Confidencial,Salvador - BA (1),https://www.catho.com.br/vagas/analista-de-sistemas-i/31152363/
Analista Sênior de Planejamento Comercial,RANDSTAD SP,Osasco - SP (1),https://www.catho.com.br/vagas/analista-senior-de-planejamento-comercial/31147989/
Engenheiro da Computação,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/engenheiro-da-computacao/31148493/
Programador Full Stack,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/programador-full-stack/31147006/
Desenvolvedor Back-end,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-back-end/31147014/
Analista DevOps,L5 NETWORKS,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-devops/31143448/
Analista de Dados Pleno,SELOVAC,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/31142626/
Analista Power BI Sênior,Raklog - Logistica e Servicos LTDA,Itaquaquecetuba - SP (1),https://www.catho.com.br/vagas/analista-power-bi-senior/31133208/
Cientista de Dados Sênior,Empresa Confidencial,Taboão da Serra - SP (1),https://www.catho.com.br/vagas/cientista-de-dados-senior/31436369/
Desenvolvedor Full Stack Pleno,DELFIA,Barueri - SP (1),https://www.catho.com.br/vagas/desenvolvedor-full-stack-pleno/31441751/
Desenvolvedor Web Fullstack Pleno,DEEPCENTER SOFTWARE ,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-web-fullstack-pleno/31162941/
Analista de Sistemas,CS2,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-sistemas/31442404/
Desenhista análise de geoprocessamento,W. Z. PLANEJAMENTO,Mogi-guaçu - SP (1),https://www.catho.com.br/vagas/desenhista-analise-de-geoprocessamento/31304762/
Desenvolvedor FullStack PL/SQL (Inglês Fluente),HARPIA IT,Santana de Parnaíba - SP (1),https://www.catho.com.br/vagas/desenvolvedor-fullstack-pl-sql-ingles-fluente/31426895/
Analista de Dados Júnior,Empresa Confidencial,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-junior/31414556/
Professor de Tecnologia da Informação,ADECCO - MATRIZ ,Salvador - BA (1),https://www.catho.com.br/vagas/professor-de-tecnologia-da-informacao/31333542/
